v2_id,v1_id,name,address
1399,540,Suisen Sushi - Pho lam Ici,"2641, rue Masson"
1400,541,Restaurant O\'Wok,"6078, ch de Chambly"
1401,542,Sachi Sushi,"4931, rue Beaubien E"
1402,543,Minato closed,"4260, rue Beaubien E"
1403,544,Western Style Chicken and Pizza ( dropped),5320 8 Ave SE
1404,,Casse-Croûte Québec,"214, boul Churchill"
1405,546,Restaurant Mazaj (Dropped),"8265, boul Taschereau"
1406,547,Yorgo\'s - Nepean,1356 Clyde Ave
1407,548,Capital City Smokehouse ( closed),2900 Woodroffe Ave
1408,549,Yorgo\'s - Barrhaven,3780 Fallowfield Rd
1409,550,New Town Chinese Food,1022 Pleasant Park Rd
1410,,Via613,1577 Alta Vista Dr
1411,552,Dominican Express(sold),3018 St Joseph Blvd
1412,553,Pizza Lovers Laurier,223 Laurier Ave E
1413,554,Glebe Indian Cuisine,589 Bank St
1414,557,Château Venus de Valleyfield (closed),"120, rue Grande-Île"
1415,558,Mack\'s Restaurant (dropped),"835, boul Yvon L\'Heureux"
1416,,Mia Pasta - Valleyfield,"1165, boul Monseigneur Langlois"
1417,560,Greek to go,425 McArthur Avenue
1418,562,Crustini Pizza (closing out of business),654 Montreal Rd
1419,563,Hung Fatt,2108 Montreal Rd
1420,564,Pizzaland (sold dropped),"239, boul St Luc"
1421,565,Zone Shish Taouk,"501, boul du Séminaire N"
1422,566,Laziz Broast & Mix Grill (Dropped),1900 Innes Rd
1423,,Mr Mozzarella,5524 Manotick Main St
1424,569,The Suya Spot Restaurant (dropped),1319 Shillington Ave
1425,,Mia Pasta - Les Coteaux,"344, Montée du Comté"
1426,572,Chess Pizza,1227 Kilborn Ave
1427,573,Good Taste Fusion Restaurant (CLOSED),2701 St Joseph Blvd
1428,575,Pho Lam Ici,"2641, rue Masson"
1429,576,Just Chicken (Dropped),4303 17 Ave SE
1430,577,Catalina Pizza & Chicken (dropped),7-5147 20 Ave SE
1431,578,Restaurant Bravi (Dropped),"279, boul Jacques-Cartier"
1432,579,Nouilles Zen,"247-C, boul D\'Anjou"
1433,580,Coin Méchoui (Dropped),"77, boul St-Jean-Baptiste"
1434,581,Plato Restaurant - DROPPED,2835 - 37 St SW
1435,582,La Favorita,356 Preston St
1436,583,Mazaya - DROPPED,2139 33 Ave SW
1437,584,Tandoori Grill - DROPPED,1101 14th St SW
1438,585,Indi Express,"72, rue St-Jean-Baptiste unit 123"
1439,586,Massa Grilladerie Grecque(dropped),"5611, av de Monkland"
1440,587,Au Petit Charbon closed,"2480, ch de Chambly"
1441,588,Amir - Greenfield Park - (Dropped),"3838, boul Taschereau"
1442,,The Kathi Roll Express - North York,1753 Avenue Rd
1443,,Aladdin Donair & Pizza,436 14 St NW
1444,591,Kim\'s 2 for 1 Pizza,4715 17 Ave SE
1445,592,Fiazza Fresh Fired (Dropped),86 Murray St
1446,593,Saigon Pho,3722 Innes Rd
1447,594,Hard Stones Grill Nepean Restaurant (dropped),1-1 Roydon Place 
1448,595,Green Chili - DROPPED,1434 17 Ave SW
1449,596,Great Canadian Pizza - Shawcliffe Gate - DROPPED,643 Shawcliffe Gate SW
1450,597,Butter Chicken Hut - DROPPED,643 Shawcliffe Gate SW
1451,599,Nikos Pizza - DROPPED,1405 11 St SW
1452,600,Papa Joe\'s Pizza - Bridle Path,4000 Bridle Path Dr
1453,601,Resto Delice (Dropped),"5630, Grande Allée"
1454,602,Le Royaume D\'Angkor (Dropped),"13201, rue Sherbrooke E"
1455,603,Lucky Panda,3023 Cedarview Rd
1456,,Basha - Beloeil,"223, boul Cartier"
1457,606,The Newdle Bar & Bubble Tea Co ( out of business),213 Hunter St W
1458,607,Burrito Shack - Sunnyside,437 Sunnyside Ave
1459,608,Pasquale\'s Pizzeria,511 E Genessee St
1460,609,Real Thaï (dropped),415 George St N
1461,611,Madoi Sushi Restaurant,437 George St
1462,612,Papa Joe\'s Fried Chicken - Downtown,527 Bronson Ave
1463,,Papa Joe\'s Fried Chicken - Alta Vista,1574 Walkley Rd
1464,614,The Great Canadian Poutinerie (QUIT),200 Deschamps Ave
1465,615,La Dolce Vita,180 Preston St
1466,616,Prince Gourmet - Market,55 Byward Market Square
1467,618,The Original Spaghetti House Pizzeria - Cobourg,365 Westwood Dr
1468,620,Papa Joe\'s Fried Chicken - Bridle Path,4000 Bridle Path Dr
1469,623,Chez Villa - Gatineau,"33, rue de Valcourt, unité 30"
1470,624,Yaseen Halal Pizza - Cyrville,1741 Cyrville Rd
1471,626,The Original Spaghetti House - Lakefield,150 Queen St
1472,627,The Original Spaghetti House - Peterborough,512 George St
1473,628,The Corned Beef Hut (dropped),476 Brant St
1474,629,Prince Gourmet - Innes,3848 Innes Rd
1475,630,Restaurant Étoile de Chambly (Dropped),"6075, ch de Chambly"
1476,631,Papa\'s Pizzaland - Port Hope (Dropped),113 Peter St
1477,633,Grillers Pizza & Wings,253 West St N
1478,635,The Pizza Junction,98 Dunlop St E
1479,636,Spice Indian Cuisine & Wine Bar (closed),16 Dunlop St E
1480,637,Tops In Pizza,276 Memorial Ave
1481,638,Great Canadian Pizza - 17 Ave (DROPPED),503 17 Ave SW
1482,639,Papa\'s Pizzaland - Peterborough (Dropped),2695 Marsdale Rd
1483,,Lotus Chinese Food,5-3780 Fallowfield Rd 
1484,,Galo Piri Piri,40 prom du portage
1485,,Pho La Express,79 Montreal Rd
1486,645,Asian Stars Restaurant,"1380 Clyde Ave, Unit B"
1487,,Prince Gourmet - Cyrville,1750 Innes Rd
1488,649,Prince Gourmet - Ogilvie ,2177 Ogilvie Rd
1489,650,Prince Gourmet - open in May,Elgin street
1490,651,Royal Thai Cuisine,62 Maple Ave
1491,652,Pho Bo Ga Truc,275 Bank St
1492,,Fuji Yama Japanese Restaurant,908 17 Ave SW
1493,656,Just Wok,2138 St Joseph Blvd
1494,657,Thai Coconut,1390 Prince of Wales Dr
1495,,Carmello\'s Italian Restaurant & Bar,300 Sparks St
1496,660,Fresh Pho U,58 Dunlop St E
1497,661,Pizza by Adonis,19 Concession St
1498,662,Lucky Bamboo,"3175 Rutherford Rd, Unit G34"
1499,663,Nowshak Restaurant ( dropped),"3175 Rutherford Rd, Unit 74"
1500,664,Silver Spoon HOLD,1775 Carling Ave
1501,665,Tonimoes - Inuvik  (closed),185 Mackenzie Rd
1502,666,Tonimoes - Whitehorse,101 Main St
1503,668,Chalet de Hull - (Stalled),
1504,669,iCook Pho You,2006 Robertson Rd
1505,670,Reginos Pizza,411 McArthur Ave 
1506,,Ceylonta - Carling,2920 Carling Ave
1507,672,The Wok,1896 Prince of Wales Dr
1508,673,Chez Villa - Buckingham,486 B Avenue de Buckingham
1509,683,Pizza Maisonneuve,"574, boul Saint-Joseph"
1510,684,The Mongolian Village,1980 Ogilvie Rd
