id,name,type,course,dish,restaurant,lang,useincombo,isglobal
541,Dish of Rice and Rollup Extras,e,0,0,101,en,N,N
542,Noodle Soups Side Dishes,sd,0,0,101,en,N,N
543,Vermicelli  and Rice Side Dishes,sd,0,0,101,en,N,N
544,Rollup Side Dishes,sd,0,0,101,en,N,N
545,Salads Dressings,dr,0,0,112,en,N,N
546,No bacon for caesar salad,e,0,0,112,en,N,N
547,Donair Sauces,sa,0,0,112,en,N,N
548,Donairs Custom ing,ci,0,0,112,en,N,N
549,Appetizers add salad,e,0,0,113,en,N,N
551,Main dishes cooking method,cm,0,0,113,en,N,N
552,Wings Sauces,sa,0,0,112,en,N,N
553,variety platter,sd,0,0,113,en,N,N
554,Platters Add Bacon option,e,0,0,112,en,N,N
555,Pasta Add Cheese option,e,0,0,112,en,N,N
556,Drinks,d,0,0,112,en,N,N
557,Crust without Gluten free,br,0,0,112,en,N,N
558,Pizza Toppings,ci,0,0,114,en,N,N
559,Pizza Dips,sa,0,0,114,en,N,N
560,Crust type,br,0,0,114,en,N,N
561,Premium Toppings,e,0,0,114,en,N,N
562,Toppings without premium,ci,0,0,114,en,N,N
563,Salads Dressings,dr,0,0,114,en,N,N
564,No bacon for caesar salad,e,0,0,114,en,N,N
565,Donair Sauces,sa,0,0,114,en,N,N
566,Donairs Custom ing,ci,0,0,114,en,N,N
