id,course,restaurant,sku,name
58785,7964,624,,X - Large Pizza
58786,7964,624,,2 Medium Pizza
58792,2763,238,,Two Large Donairs  HIDE
58862,7966,623,,1 Garniture
58863,7966,623,,2 Garnitures
58879,7976,623,,1 Garniture
58880,7976,623,,2 Garnitures
58881,7976,623,,3 Garnitures
58883,7979,623,,1 Topping
58884,7979,623,,2 Toppings
58966,7990,623,,1 Topping
58967,7990,623,,2 Toppings
58968,7990,623,,3 Toppings
58992,7938,614,,Dinner For 1
58993,7938,614,,Dinner For 2
59002,7989,623,,Special 1
59003,7989,623,,Special 2
59004,7989,623,,Special 3
59005,7991,623,,Family Deal 1
59009,7983,623,,Hamburger Platter
59011,7983,623,,Cheeseburger Platter
59012,7983,623,,Bacon Cheeseburger Platter
59013,7983,623,,Chicken Burger Platter
59023,7969,623,,Assiette Hamburger
59024,7969,623,,Assiette Cheeseburger
59025,7969,623,,Assiette Cheeseburger au Bacon
59026,7969,623,,Assiette Burger au Poulet 
59027,7977,623,,Special 1 
59028,7977,623,,Special 2
59031,7977,623,,Special 3
59032,7978,623,,Spécial Familiale 1
59095,8013,626,,2 Panzerottis
59137,8023,627,,2 Panzerottis
59161,4895,405,,No 6. 
59162,4895,405,,Party Special
59163,4894,405,,No 11. Two Burgers Special
59208,8035,184,,2 Moyennes avec Trempettes
59209,8035,184,,2 Grandes avec Trempettes
59248,7945,616,,Regular Trio for 1
59249,7945,616,,Regular Trio for 2
59250,7945,616,,Large Trio for 1
59251,7945,616,,Large Trio for 2
59252,7945,616,,Combo No.3
59253,7945,616,,Combo No.4
59254,7945,616,,Combo No.5
59258,8040,618,,Wednesday
59263,8040,618,,Friday
59284,8044,627,,Wednesday
59286,8044,627,,Friday
59355,8052,629,,Regular Trio for 1
59356,8052,629,,Regular Trio for 2
59357,8052,629,,Large Trio for 1
59358,8052,629,,Large Trio for 2
59359,8052,629,,Combo No.3
59360,8052,629,,Combo No.4
59361,8052,629,,Combo No.5
59388,8060,626,,Wednesday
59486,8060,626,,Friday
59548,8079,631,,Pizza with Unlimited Toppings and 10 Wings
59549,8080,631,,2 Pizzas with Unlimited Toppings
59550,8081,631,,2 Large Pizza and 10 Wings
59551,8081,631,,X-Large Pizza and 20 Wings
59552,8081,631,,Party Pizza and 30 Wings
59553,8081,631,,!!!2 Can dine for.....
59693,8092,630,,3 Pizzas
