combo_group_id,combo_rules
119,"{""item_count"": 1, ""show_pizza_icons"": true, ""display_header"": """", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 0, ""free_quantity"": 3, ""display_order"": 3, ""display_header"": ""First three toppings free!""}}}"
120,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": """"}"
122,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""1st Donair;2nd Donair""}"
123,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 1, ""max"": 0, ""free_quantity"": 3, ""display_order"": 3, ""display_header"": ""First 3 toppings free!""}}}"
124,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": """", ""modifier_rules"": {""extras"": {""enabled"": true, ""min"": 0, ""max"": 0, ""free_quantity"": 0, ""display_order"": 3, ""display_header"": ""Extra chicken for salad?""}}}"
125,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Choose your soup.""}"
126,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""1st Dish;2nd Dish""}"
127,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Choose your Fried Rice.""}"
128,"{""item_count"": 3, ""show_pizza_icons"": false, ""display_header"": ""1st Dish;2nd Dish;3rd Dish""}"
129,"{""item_count"": 4, ""show_pizza_icons"": false, ""display_header"": ""1st Dish;2nd Dish;3rd Dish;4th Dish""}"
130,"{""item_count"": 5, ""show_pizza_icons"": false, ""display_header"": ""1st Dish;2nd Dish;3rd Dish;4th Dish;5th Dish""}"
131,"{""item_count"": 6, ""show_pizza_icons"": false, ""display_header"": ""1st Dish;2nd Dish;3rd Dish;4th Dish;5th Dish;6th Dish""}"
132,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Choose One From A""}"
133,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""Choose First from A;Choose Second from A""}"
134,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Choose One From B""}"
135,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": -1, ""max"": 0, ""free_quantity"": 2, ""display_order"": 2, ""display_header"": ""First 2 Toppings Free""}}}"
136,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Pizza Dip""}"
137,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": -1, ""max"": 0, ""free_quantity"": 4, ""display_order"": 2, ""display_header"": ""First 4 Toppings Free""}}}"
138,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": -1, ""max"": 0, ""free_quantity"": 6, ""display_order"": 2, ""display_header"": ""First 6 Toppings Free""}}}"
139,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Wings Sauce""}"
140,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": ""Choose Pizza Toppings"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 0, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": ""First 3 Toppings Free""}}}"
141,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""Choose First Pasta;Choose Second Pasta""}"
142,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": -1, ""max"": 0, ""free_quantity"": 2, ""display_order"": 2, ""display_header"": ""First 2 Toppings Free""}}}"
143,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": -1, ""max"": 0, ""free_quantity"": 4, ""display_order"": 2, ""display_header"": ""First 4 Toppings Free""}}}"
144,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": -1, ""max"": 0, ""free_quantity"": 6, ""display_order"": 2, ""display_header"": ""First 6 Toppings Free""}}}"
145,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 1, ""max"": 1, ""free_quantity"": 1, ""display_order"": 2, ""display_header"": ""Choose one Topping""}}}"
146,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 2, ""max"": 2, ""free_quantity"": 2, ""display_order"": 2, ""display_header"": ""Choose two Toppings""}}}"
147,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 3, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": ""Choose three Toppings""}}}"
148,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 1, ""max"": 1, ""free_quantity"": 1, ""display_order"": 2, ""display_header"": ""Choose one Topping""}}}"
149,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 2, ""max"": 2, ""free_quantity"": 2, ""display_order"": 2, ""display_header"": ""Choose two Toppings""}}}"
150,"{""item_count"": 2, ""show_pizza_icons"": true, ""display_header"": ""First Pizza;Second Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 3, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": ""Choose three Toppings""}}}"
151,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""1st Pizza;2nd Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 1, ""max"": 1, ""free_quantity"": 0, ""display_order"": 2, ""display_header"": ""Select 1 Topping""}}}"
152,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": """"}"
153,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""1st Pizza;2nd Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 2, ""max"": 2, ""free_quantity"": 0, ""display_order"": 2, ""display_header"": ""Select 2 Toppings""}}}"
154,"{""item_count"": 2, ""show_pizza_icons"": false, ""display_header"": ""1st Pizza;2nd Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 3, ""free_quantity"": 0, ""display_order"": 2, ""display_header"": ""Select 3 Toppings""}}}"
155,"{""item_count"": 1, ""show_pizza_icons"": false, ""display_header"": """"}"
157,"{""item_count"": 1, ""show_pizza_icons"": true, ""display_header"": "" Pizza"", ""modifier_rules"": {""custom_ingredients"": {""enabled"": true, ""min"": 3, ""max"": 3, ""free_quantity"": 3, ""display_order"": 2, ""display_header"": ""Choose three Toppings""}}}"
