"id";"v1_id";"added_by";"added_at";"suspend_operation";"suspended_at";"name";"active";"pending";"updated_at";"updated_by"
1265;380;0;"2016-02-25 08:08:34";"0";0;"Tassot Creole";"n";"n";"";0
1266;383;0;"2016-02-25 08:08:34";"0";0;"Beneci Pizza";"n";"n";"";0
1267;384;0;"2016-02-25 08:08:34";"0";0;"Stuffed Burgers & Pizza";"n";"n";"";0
1268;385;0;"2016-02-25 08:08:34";"0";0;"Pasta Tutti Giorni (dropped)";"n";"n";"";0
1269;386;0;"2016-02-25 08:08:34";"0";0;"Wontonmama (CLOSED)";"n";"n";"";0
1270;387;0;"2016-02-25 08:08:34";"0";0;"Orchid Sushi";"n";"y";"";0
1271;389;0;"2016-02-25 08:08:34";"0";0;"Pizzéria Parenteau PJ";"n";"n";"";0
1272;391;0;"2016-02-25 08:08:34";"0";0;"Restaurant Mario's";"n";"n";"";0
1273;0;0;"2016-02-25 08:08:34";"0";0;"Le Tandoor";"n";"y";"";0
1274;394;0;"2016-02-25 08:08:34";"0";0;"La Rumeur";"n";"n";"";0
1275;395;0;"2016-02-25 08:08:34";"0";0;"Le palais des sous marins et pizza";"n";"n";"";0
1276;396;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1277;0;0;"2016-02-25 08:08:34";"0";0;"Hokkaido Sushi";"n";"n";"";0
1278;398;0;"2016-02-25 08:08:34";"0";0;"Pappas Souvlaki  (dropped)";"n";"n";"";0
1279;399;0;"2016-02-25 08:08:34";"0";0;"Grand Tandoori (DROPPED)";"n";"n";"";0
1280;400;0;"2016-02-25 08:08:34";"0";0;"Basha La Prairie (Dropped)";"n";"n";"";0
1281;401;0;"2016-02-25 08:08:34";"0";0;"Greek Express (DROPPED)";"n";"n";"";0
1282;402;0;"2016-02-25 08:08:34";"0";0;"Forest Hill Pizza";"n";"n";"";0
1283;404;0;"2016-02-25 08:08:34";"0";0;"Pho Haven";"n";"n";"";0
1284;405;0;"2016-02-25 08:08:34";"0";0;"3 for 1 Pizza (Closed)";"n";"n";"";0
1285;406;0;"2016-02-25 08:08:34";"0";0;"Sushi Presse";"y";"n";"";0
1286;407;0;"2016-02-25 08:08:34";"0";0;"Medina Fried Chicken";"n";"n";"";0
1287;408;0;"2016-02-25 08:08:34";"0";0;"CasaLuna Pizza(quit)";"n";"n";"";0
1288;409;0;"2016-02-25 08:08:34";"0";0;"Pure Joy Sushi & Bubble Tea";"n";"n";"";0
1289;410;0;"2016-02-25 08:08:34";"0";0;"Milano Pizzeria (DROPPED)";"n";"n";"";0
1290;411;0;"2016-02-25 08:08:34";"0";0;"Milano";"n";"n";"";0
1291;412;0;"2016-02-25 08:08:34";"0";0;"Ambala";"n";"n";"";0
1292;413;0;"2016-02-25 08:08:34";"0";0;"Lucky Fortune";"n";"n";"";0
1293;414;0;"2016-02-25 08:08:34";"0";0;"Le Ming Chuan (Dropped)";"n";"n";"";0
1294;415;0;"2016-02-25 08:08:34";"0";0;"Shaan Tandoori";"n";"y";"";0
1295;416;0;"2016-02-25 08:08:34";"0";0;"Fat Albert's";"n";"n";"";0
1296;417;0;"2016-02-25 08:08:34";"0";0;"Sushi Presse LaSalle (dropped closed)";"n";"n";"";0
1297;0;0;"2016-02-25 08:08:34";"0";0;"Basha Mont-Saint-Hilaire";"n";"n";"";0
1298;419;0;"2016-02-25 08:08:34";"0";0;"Sous Le Palmier";"n";"n";"";0
1299;421;0;"2016-02-25 08:08:34";"0";0;"Michelle BBQ";"n";"n";"";0
1300;422;0;"2016-02-25 08:08:34";"0";0;"Basha (Van Horne)";"n";"n";"";0
1301;423;0;"2016-02-25 08:08:34";"0";0;"Basha (Des Laurentides) (dropped) click my resto";"n";"n";"";0
1302;424;0;"2016-02-25 08:08:34";"0";0;"I Went to Philly Yonge (DROPPED)";"n";"n";"";0
