id,suspend_operation,suspended_at,coming_soon,vacation,vacation_start,vacation_stop,suspend_ordering,suspend_ordering_start,suspend_ordering_stop,active,pending
1637,1,0000-00-00 00:00:00,2,2,,,2,,,1,2
1638,2,,1,2,,,2,,,2,1
1639,2,0000-00-00 00:00:00,2,2,,,2,,,1,2
1640,2,0000-00-00 00:00:00,2,2,,,2,,,2,2
1641,2,0000-00-00 00:00:00,2,2,,,2,,,1,2
1642,2,,2,2,,,2,,,1,2
1643,2,,1,2,,,2,,,2,1
1654,2,0000-00-00 00:00:00,2,2,,,2,,,1,2
1655,2,,1,2,,,2,,,2,1
1656,2,0000-00-00 00:00:00,1,2,,,2,,,2,1
1657,2,0000-00-00 00:00:00,2,2,,,2,,,1,2
1658,2,0000-00-00 00:00:00,2,2,,,2,,,1,2
1659,2,0000-00-00 00:00:00,2,2,,,2,,,1,2
1660,1,0000-00-00 00:00:00,2,2,,,2,,,1,2
1661,2,0000-00-00 00:00:00,2,2,,,2,,,1,2
1662,2,0000-00-00 00:00:00,2,2,,,2,,,1,2
1663,1,0000-00-00 00:00:00,2,2,,,2,,,1,2
1664,1,0000-00-00 00:00:00,2,2,,,2,,,1,2
1665,2,,2,2,,,2,,,1,2
1666,2,,2,2,,,2,,,2,2
1667,2,,2,2,,,2,,,2,2
1668,2,0000-00-00 00:00:00,2,2,,,2,,,1,2
1669,2,0000-00-00 00:00:00,2,2,,,2,,,2,2
1670,2,0000-00-00 00:00:00,2,2,,,2,,,1,2
1671,2,,2,2,,,2,,,1,2
1672,2,,2,2,,,2,,,2,1
1673,2,0000-00-00 00:00:00,2,2,,,2,,,1,2
1674,2,,2,2,,,2,,,1,2
1675,2,,2,2,,,2,,,1,2
1676,2,,2,2,,,2,,,1,2
1677,2,,2,2,,,2,,,1,2
1678,2,,2,2,,,2,,,1,2
