id,restaurant_id,day_start,time_start,day_stop,time_stop,type,enabled
1916,1668,5,11:00:00,5,20:00:00,d,n
1917,1668,6,11:00:00,6,20:00:00,d,n
1918,1642,4,16:30:00,4,21:00:00,t,n
1919,1642,5,16:30:00,5,21:00:00,t,n
1920,1642,6,16:30:00,6,21:00:00,t,n
1921,1642,7,16:30:00,7,21:00:00,t,n
1922,1642,4,16:30:00,4,21:00:00,d,n
1923,1642,5,16:30:00,5,21:00:00,d,n
1924,1642,6,16:30:00,6,21:00:00,d,n
1925,1642,7,16:30:00,7,21:00:00,d,n
1926,1642,4,16:30:00,4,21:00:00,t,n
1927,1642,5,16:30:00,5,21:00:00,t,n
1928,1642,6,16:30:00,6,21:00:00,t,n
1929,1642,7,16:30:00,7,21:00:00,t,n
1930,1285,2,11:00:00,2,15:00:00,t,y
1931,1285,3,11:00:00,3,21:00:00,t,y
1932,1285,4,11:00:00,4,21:00:00,t,y
1933,1285,5,11:00:00,5,21:00:00,t,y
1934,1285,6,11:00:00,6,21:00:00,t,y
1935,1285,2,11:00:00,2,15:00:00,d,y
1936,1285,3,11:00:00,3,21:00:00,d,y
1937,1285,4,11:00:00,4,21:00:00,d,y
1938,1285,5,11:00:00,5,21:00:00,d,y
1939,1285,6,11:00:00,6,21:00:00,d,y
1940,1595,1,11:00:00,1,23:00:00,t,n
1941,1595,2,07:00:00,2,22:00:00,t,n
1942,1595,3,09:00:00,3,23:00:00,t,n
1943,1595,4,01:00:00,4,23:00:00,t,n
1944,1595,5,01:00:00,5,23:00:00,t,n
1945,1595,6,11:00:00,6,23:00:00,t,n
1946,1595,7,11:00:00,7,23:00:00,t,n
1947,1666,1,15:00:00,1,21:00:00,t,n
1948,1666,2,11:00:00,2,21:00:00,t,n
1949,1666,3,11:00:00,3,21:00:00,t,n
1950,1666,4,01:11:00,4,21:00:00,t,n
1951,1666,5,11:00:00,5,21:00:00,t,n
1952,1666,6,14:00:00,6,21:00:00,t,n
1953,1666,1,11:00:00,1,21:00:00,t,n
1954,1666,2,11:00:00,2,21:00:00,t,n
1955,1666,3,11:00:00,3,21:00:00,t,n
1956,1666,4,01:11:00,4,21:00:00,t,n
1957,1666,5,11:00:00,5,21:00:00,t,n
1958,1666,6,14:00:00,6,21:00:00,t,n
1959,1669,1,15:00:00,1,22:00:00,t,n
1960,1669,2,15:00:00,2,22:00:00,t,n
1961,1669,3,15:00:00,3,22:00:00,t,n
1962,1669,4,15:00:00,4,22:00:00,t,n
1963,1669,5,15:00:00,5,22:00:00,t,n
1964,1669,6,15:00:00,6,22:00:00,t,n
1965,1669,7,15:00:00,7,22:00:00,t,n
1966,1669,1,15:00:00,1,22:00:00,d,n
1967,1669,2,15:00:00,2,22:00:00,d,n
1968,1669,3,15:00:00,3,22:00:00,d,n
1969,1669,4,15:00:00,4,22:00:00,d,n
